"hypervisorId__hypervisorId","name","guestIds__guestId","guestIds__state","guestIds__attributes__active","guestIds__attributes__virtWhoType","facts__hypervisor.type","facts__dmi.system.uuid","facts__cpu.cpu_socket(s)","facts__hypervisor.cluster","facts__hypervisor.version"
"","","d4e90042-6e69-e992-261d-fbc62c042d78","5","0","esx","","","","",""
"","","dbfc0042-f714-de6c-9ff9-fca60cea4a27","1","1","esx","","","","",""
"","","dc650042-c91a-8a8b-2270-b1a9c108e181","1","1","esx","","","","",""
"","","ddc20042-7e62-34a2-897c-ced467f83682","1","1","esx","","","","",""
"","","e1350042-0e4a-0fe8-e4c1-c255f9f32817","5","0","esx","","","","",""
"","","eb4e0042-e1f1-d8b6-27c4-aec46f3df801","1","1","esx","","","","",""
"","","ecbd0042-fb7b-37f8-84a8-4d833577643a","1","1","esx","","","","",""
"astron-1.example.com","astron-1.example.com","04e10042-ca09-c019-ca93-85ca07306454","5","0","esx","VMware ESXi","4c4c4544-0035-5610-8032-b7c04f513033","2","sysmgmt","6.7.0"
"","","06c80042-9408-620c-67a9-4cc4bed75da9","1","1","esx","","","","",""
"","","0c1e0042-0771-38ac-9535-c53d5d98d01e","1","1","esx","","","","",""
"","","0e3a0042-2a6d-eebf-91bf-5c28a38e869c","1","1","esx","","","","",""
"","","16330042-3615-2467-2999-bcdc2ac26656","1","1","esx","","","","",""
"","","18c70042-5191-9fea-f0e0-552e1fe392df","1","1","esx","","","","",""
"","","27420042-33ed-0973-d631-4fb00c69083a","5","0","esx","","","","",""
"","","2b7a0042-7f23-328e-5594-864369c8da29","1","1","esx","","","","",""
"","","2c8a0042-2c8b-38f9-f18b-98cadc88cd39","1","1","esx","","","","",""
"","","34ce0042-c9bc-a491-3d85-4eac04285ac8","1","1","esx","","","","",""
"","","39a30042-1ff1-49c1-35dd-608c14857bf7","1","1","esx","","","","",""
"","","3af50042-258d-50b9-1f13-91fd50573300","1","1","esx","","","","",""
"","","4d120042-d677-f7ab-7c67-a1f00de71b14","1","1","esx","","","","",""
"","","4dfd0042-da8e-f922-7e35-1fe65313ea4c","1","1","esx","","","","",""
"","","519b0042-0291-95a2-2415-886fd72731d7","1","1","esx","","","","",""
"","","51f00042-47ee-0520-f343-380a64eaa9e4","5","0","esx","","","","",""
"","","54ba0042-472d-534f-1e8e-446cc393208d","5","0","esx","","","","",""
"","","564dd9f3-1ce5-d219-77b3-fdb9d4e39a55","1","1","esx","","","","",""
"","","5afe0042-4764-d428-81b8-27d62655ef93","1","1","esx","","","","",""
"","","5f8a0042-4db8-b098-0981-78b643ddcda9","1","1","esx","","","","",""
"","","68f30042-b5b7-1422-62bd-32aed51e3a4c","5","0","esx","","","","",""
"","","73800042-5a10-0134-7a4b-5172a8693293","1","1","esx","","","","",""
"","","75eb0042-5a2f-4765-16d3-ac69fb05fa17","1","1","esx","","","","",""
"","","78b80042-102b-1558-78ff-8e985154cf0a","5","0","esx","","","","",""
"","","91ed0042-cd0d-4c47-3888-a684420bdca3","5","0","esx","","","","",""
"","","9c790042-09ac-6b1f-28be-f8515436d122","1","1","esx","","","","",""
"","","9fa00042-1e26-a6ba-d2cd-974bd747480e","5","0","esx","","","","",""
"","","a0780042-0885-646d-6df5-f35c3b680958","1","1","esx","","","","",""
"","","a0cb0042-5fae-7a67-b30e-f864e64a4614","1","1","esx","","","","",""
"","","b2b60042-3fad-a23c-493b-772b79eb379f","1","1","esx","","","","",""
"","","b8760042-4bb1-010e-8c1d-e465b8838cc5","5","0","esx","","","","",""
"","","ba850042-f8f8-6ffc-e69c-9cafad9afb4c","1","1","esx","","","","",""
"","","bcf00042-c327-93b3-128e-5087f5736954","1","1","esx","","","","",""
"","","bdbb0042-f40f-3c55-2cb1-885644c06a3c","1","1","esx","","","","",""
"","","da6c0042-7ed5-2359-cf57-75553adf0c51","5","0","esx","","","","",""
"","","ef030042-1524-3bca-5333-b7460dcd2a67","1","1","esx","","","","",""
"","","fcf10042-8fa5-8939-8890-dbdc71d7ea06","5","0","esx","","","","",""
